LastFire,FireAreaKM2
0,114.8618863
1964,0.017675495
1968,1.415376213
1974,0.12448086
1977,1.51848116
1978,0.019278757
1980,0.031403277
1982,0.036468948
1983,0.003188851
1984,1.707685048
1985,4.652082859
1986,0.422999926
1988,0.424863009
1989,0.197393858
1990,0.089166168
1991,0.884672172
1992,9.71E-09
1993,0.108925378
1994,0.561442521
1995,0.042289024
1996,0.33783308
1997,0.827196091
1998,0.503960983
1999,0.305023047
2000,0.064462996
2001,29.36095033
2002,1.904772072
2003,0.753927532
2004,3.863426567
2005,0.517188237
2006,1.560585422
2007,0.011586487
2009,0.043673917
2010,2.548861338
2011,2.151919471
2012,0.237672024
2013,2.135167193
2014,0.696865706
2015,0.815378835
2016,1.66875358
2017,1.751338609
2018,2.059426848
2019,0.016370339
